,class-0,class-1,class-2
DIO2,0.0,0.0,1.0
DIS3,0.0,0.0,1.0
DKC1,0.0,0.0,1.0
DLAT,0.0,0.0,1.0
DLD,0.0,0.0,1.0
DLG4,0.0,0.0,1.0
DLG5,0.0,0.0,1.0
DLK1,0.0,0.0,1.0
DLST,0.0,0.0,1.0
DNAJA3,0.0,0.0,1.0
DNAJB12,0.0,0.0,1.0
DNAJC8,0.0,0.0,1.0
DNM1L,0.0,0.0,1.0
DNM2,0.0,0.0,1.0
DNTTIP2,0.0,0.0,1.0
DPEP1,0.0,0.0,1.0
DPEP2,0.0,0.0,1.0
DR1,0.0,0.0,1.0
DRD4,0.0,0.0,1.0
DROSHA,0.0,0.0,1.0
DSC2,0.0,0.0,1.0
DSC3,0.0,0.0,1.0
DTD1,0.0,0.0,1.0
DUPD1,0.0,0.0,1.0
DUSP18,0.0,0.0,1.0
DUT,0.0,0.0,1.0
DYNC1H1,0.0,0.0,1.0
DYRK1A,0.0,0.0,1.0
E4F1,0.0,0.0,1.0
EBNA1BP2,0.0,0.0,1.0
ECD,0.0,0.0,1.0
ECSIT,0.0,0.0,1.0
ECT2,0.0,0.0,1.0
EDNRA,0.0,0.0,1.0
EEF1A1,0.0,0.0,1.0
EEF2,0.0,0.0,1.0
EFNA2,0.0,0.0,1.0
EFTUD2,0.0,0.0,1.0
EGFLAM,0.0,0.0,1.0
EHMT1,0.0,0.0,1.0
EIF1AX,0.0,0.0,1.0
EIF2AK4,0.0,0.0,1.0
EIF2B1,0.0,0.0,1.0
EIF2B2,0.0,0.0,1.0
EIF2B3,0.0,0.0,1.0
EIF2B5,0.0,0.0,1.0
EIF2S2,0.0,0.0,1.0
EIF3A,0.0,0.0,1.0
EIF3E,0.0,0.0,1.0
EIF3F,0.0,0.0,1.0
EIF3G,0.0,0.0,1.0
EIF3H,0.0,0.0,1.0
EIF3I,0.0,0.0,1.0
EIF3L,0.0,0.0,1.0
EIF4A1,0.0,0.0,1.0
EIF4A3,0.0,0.0,1.0
EIF4E,0.0,0.0,1.0
EIF4G1,0.0,0.0,1.0
EIF5A,0.0,0.0,1.0
EIF5AL1,0.0,0.0,1.0
EIF5B,0.0,0.0,1.0
EIF6,0.0,0.0,1.0
ELL,0.0,0.0,1.0
ELOVL7,0.0,0.0,1.0
ELP4,0.0,0.0,1.0
ENY2,0.0,0.0,1.0
EP400,0.0,0.0,1.0
EPDR1,0.0,0.0,1.0
EPHB6,0.0,0.0,1.0
EPHX3,0.0,0.0,1.0
EPN2,0.0,0.0,1.0
EPOR,0.0,0.0,1.0
EPRS,0.0,0.0,1.0
EPX,0.0,0.0,1.0
ERCC2,0.0,0.0,1.0
ERCC6L,0.0,0.0,1.0
ERCC6L2,0.0,0.0,1.0
ERH,0.0,0.0,1.0
ESD,0.0,0.0,1.0
ESM1,0.0,0.0,1.0
ESPL1,0.0,0.0,1.0
EXOC3,0.0,0.0,1.0
EXOSC1,0.0,0.0,1.0
EXOSC10,0.0,0.0,1.0
EXOSC2,0.0,0.0,1.0
EXOSC3,0.0,0.0,1.0
EXOSC5,0.0,0.0,1.0
EXOSC7,0.0,0.0,1.0
EXOSC8,0.0,0.0,1.0
EZH2,0.0,0.0,1.0
FAF2,0.0,0.0,1.0
FAM171B,0.0,0.0,1.0
FAM43A,0.0,0.0,1.0
FARSA,0.0,0.0,1.0
FASN,0.0,0.0,1.0
FAU,0.0,0.0,1.0
FBLN2,0.0,0.0,1.0
FBXL12,0.0,0.0,1.0
FBXL19,0.0,0.0,1.0
FBXO17,0.0,0.0,1.0
FBXO5,0.0,0.0,1.0
FBXO7,0.0,0.0,1.0
FBXW11,0.0,0.0,1.0
FBXW7,0.0,0.0,1.0
FCRL5,0.0,0.0,1.0
FDPS,0.0,0.0,1.0
FDPSP2,0.0,0.0,1.0
FDX2,0.0,0.0,1.0
FDXR,0.0,0.0,1.0
FECH,0.0,0.0,1.0
FGF8,0.0,0.0,1.0
FIP1L1,0.0,0.0,1.0
FJX1,0.0,0.0,1.0
FKRP,0.0,0.0,1.0
FLNA,0.0,0.0,1.0
FLT4,0.0,0.0,1.0
FOSL1,0.0,0.0,1.0
FOSL2,0.0,0.0,1.0
FOXA1,0.0,0.0,1.0
FOXA3,0.0,0.0,1.0
FOXB1,0.0,0.0,1.0
FOXC2,0.0,0.0,1.0
FOXF1,0.0,0.0,1.0
FOXI3,0.0,0.0,1.0
FOXO4,0.0,0.0,1.0
FPR2,0.0,0.0,1.0
FRAS1,0.0,0.0,1.0
FRAT1,0.0,0.0,1.0
FRAT2,0.0,0.0,1.0
FTCD,0.0,0.0,1.0
FUBP1,0.0,0.0,1.0
FUBP3,0.0,0.0,1.0
FXN,0.0,0.0,1.0
FXYD6,0.0,0.0,1.0
FZD5,0.0,0.0,1.0
GABPA,0.0,0.0,1.0
GABPB1,0.0,0.0,1.0
GADD45G,0.0,0.0,1.0
GAK,0.0,0.0,1.0
GAL3ST3,0.0,0.0,1.0
GAL3ST4,0.0,0.0,1.0
GALK1,0.0,0.0,1.0
